iter	Passed	Remaining
713	6675	2673
714	6690	2666
715	6699	2657
716	6705	2646
717	6716	2637
718	6724	2628
719	6735	2619
720	6746	2610
721	6753	2600
722	6762	2591
723	6770	2580
724	6780	2572
725	6789	2562
726	6800	2553
727	6812	2545
728	6822	2536
729	6832	2527
730	6838	2516
731	6847	2506
732	6855	2497
733	6867	2488
734	6884	2482
735	6898	2474
736	6912	2466
737	6925	2458
738	6936	2449
739	6948	2441
740	6961	2433
741	6972	2424
742	6982	2415
743	6995	2406
744	7005	2397
745	7020	2390
746	7040	2384
747	7052	2375
748	7070	2369
749	7079	2359
750	7096	2352
751	7106	2343
752	7115	2333
753	7125	2324
754	7139	2316
755	7150	2307
756	7161	2298
757	7173	2290
758	7182	2280
759	7192	2271
760	7201	2261
761	7210	2252
762	7222	2243
763	7227	2232
764	7237	2223
765	7245	2213
766	7256	2204
767	7266	2194
768	7275	2185
769	7286	2176
770	7293	2166
771	7302	2156
772	7311	2147
773	7324	2138
774	7332	2128
775	7342	2119
776	7353	2110
777	7362	2100
778	7373	2091
779	7380	2081
780	7390	2072
781	7397	2062
782	7408	2053
783	7415	2043
784	7424	2033
785	7432	2023
786	7441	2013
787	7450	2004
788	7459	1994
789	7471	1986
790	7478	1975
791	7489	1966
792	7495	1956
793	7505	1947
794	7513	1937
795	7522	1927
796	7530	1918
797	7540	1908
798	7549	1899
799	7558	1889
800	7569	1880
801	7576	1870
802	7585	1860
803	7591	1850
804	7602	1841
805	7608	1831
806	7620	1822
807	7626	1812
808	7637	1803
809	7643	1792
810	7655	1784
811	7663	1774
812	7671	1764
813	7679	1754
814	7687	1745
815	7696	1735
816	7704	1725
817	7712	1716
818	7721	1706
819	7731	1697
820	7738	1687
821	7747	1677
822	7755	1667
823	7764	1658
824	7771	1648
825	7780	1638
826	7787	1629
827	7795	1619
828	7803	1609
829	7816	1600
830	7823	1591
831	7832	1581
832	7838	1571
833	7850	1562
834	7856	1552
835	7866	1543
836	7872	1533
837	7882	1523
838	7889	1513
839	7898	1504
840	7906	1494
841	7915	1485
842	7923	1475
843	7932	1466
844	7940	1456
845	7950	1447
846	7960	1438
847	7966	1428
848	7977	1418
849	7983	1408
850	7993	1399
851	7999	1389
852	8008	1380
853	8015	1370
854	8026	1361
855	8032	1351
856	8044	1342
857	8054	1332
858	8063	1323
859	8073	1314
860	8081	1304
861	8089	1295
862	8097	1285
863	8107	1276
864	8114	1266
865	8123	1256
866	8130	1247
867	8140	1237
868	8148	1228
869	8158	1219
870	8164	1209
871	8174	1199
872	8180	1190
873	8190	1180
874	8196	1170
875	8206	1161
876	8213	1151
877	8222	1142
878	8231	1133
879	8240	1123
880	8247	1114
881	8255	1104
882	8263	1094
883	8275	1085
884	8285	1076
885	8294	1067
886	8305	1058
887	8312	1048
888	8323	1039
889	8329	1029
890	8338	1020
891	8347	1010
892	8357	1001
893	8362	991
